attack_id,attack_name,model,f1,n_samples
0,Normal,LSTM-AE,0.0,16415
1,SourceSpike,LSTM-AE,1.0,120
2,CompRamp,LSTM-AE,1.0,120
4,DemandInject,LSTM-AE,0.0,60
5,PressureSpoof,LSTM-AE,0.9831,180
6,FlowSpoof,LSTM-AE,1.0,60
7,PLCLatency,LSTM-AE,0.0,180
8,PipeLeak,LSTM-AE,0.9714,180
9,FDI_Stealthy,LSTM-AE,0.9657,241
10,ReplayAttack,LSTM-AE,0.0,60
0,Normal,GNN,0.0,16415
1,SourceSpike,GNN,0.8837,120
2,CompRamp,GNN,1.0,120
4,DemandInject,GNN,0.0,60
5,PressureSpoof,GNN,0.2692,180
6,FlowSpoof,GNN,1.0,60
7,PLCLatency,GNN,0.0435,180
8,PipeLeak,GNN,0.0,180
9,FDI_Stealthy,GNN,0.4092,241
10,ReplayAttack,GNN,0.0,60
0,Normal,Hybrid-IDS,0.0,16415
1,SourceSpike,Hybrid-IDS,0.8732,120
2,CompRamp,Hybrid-IDS,0.0,120
4,DemandInject,Hybrid-IDS,0.0,60
5,PressureSpoof,Hybrid-IDS,0.9625,180
6,FlowSpoof,Hybrid-IDS,1.0,60
7,PLCLatency,Hybrid-IDS,0.0,180
8,PipeLeak,Hybrid-IDS,0.6957,180
9,FDI_Stealthy,Hybrid-IDS,0.9241,241
10,ReplayAttack,Hybrid-IDS,0.0,60
