attack_id,attack_name,model,f1,n_samples
0,Normal,LSTM-AE,0.0,6617
1,SourceSpike,LSTM-AE,0.0063,314
2,CompRamp,LSTM-AE,0.6138,341
3,ValveForce,LSTM-AE,0.0,163
4,DemandInject,LSTM-AE,0.0,335
5,PressureSpoof,LSTM-AE,0.9097,344
6,FlowSpoof,LSTM-AE,0.0546,285
7,PLCLatency,LSTM-AE,0.0,268
8,PipeLeak,LSTM-AE,0.0,523
9,FDI_Stealthy,LSTM-AE,0.4085,300
10,ReplayAttack,LSTM-AE,0.0,347
0,Normal,GNN,0.0,6617
1,SourceSpike,GNN,0.343,314
2,CompRamp,GNN,0.6732,341
3,ValveForce,GNN,0.3452,163
4,DemandInject,GNN,0.3375,335
5,PressureSpoof,GNN,0.8476,344
6,FlowSpoof,GNN,0.3478,285
7,PLCLatency,GNN,0.3354,268
8,PipeLeak,GNN,0.3579,523
9,FDI_Stealthy,GNN,0.5948,300
10,ReplayAttack,GNN,0.3898,347
0,Normal,Hybrid-IDS,0.0,6617
1,SourceSpike,Hybrid-IDS,0.0912,314
2,CompRamp,Hybrid-IDS,0.6495,341
3,ValveForce,Hybrid-IDS,0.1156,163
4,DemandInject,Hybrid-IDS,0.1073,335
5,PressureSpoof,Hybrid-IDS,0.8831,344
6,FlowSpoof,Hybrid-IDS,0.1063,285
7,PLCLatency,Hybrid-IDS,0.1259,268
8,PipeLeak,Hybrid-IDS,0.1254,523
9,FDI_Stealthy,Hybrid-IDS,0.4043,300
10,ReplayAttack,Hybrid-IDS,0.1543,347
