attack_id,attack_name,model,f1,n_samples
0,Normal,LSTM-AE,0.0,6314
1,SourceSpike,LSTM-AE,0.0069,287
2,CompRamp,LSTM-AE,0.6067,248
3,ValveForce,LSTM-AE,0.0,367
4,DemandInject,LSTM-AE,0.0,271
5,PressureSpoof,LSTM-AE,0.9335,465
6,FlowSpoof,LSTM-AE,0.0981,252
7,PLCLatency,LSTM-AE,0.0,247
8,PipeLeak,LSTM-AE,0.0,322
9,FDI_Stealthy,LSTM-AE,0.2536,303
10,ReplayAttack,LSTM-AE,0.0,281
0,Normal,GNN,0.0,6314
1,SourceSpike,GNN,0.3458,287
2,CompRamp,GNN,0.6106,248
3,ValveForce,GNN,0.3833,367
4,DemandInject,GNN,0.2902,271
5,PressureSpoof,GNN,0.8659,465
6,FlowSpoof,GNN,0.3636,252
7,PLCLatency,GNN,0.3311,247
8,PipeLeak,GNN,0.3696,322
9,FDI_Stealthy,GNN,0.4178,303
10,ReplayAttack,GNN,0.371,281
0,Normal,Hybrid-IDS,0.0,6314
1,SourceSpike,Hybrid-IDS,0.1484,287
2,CompRamp,Hybrid-IDS,0.6336,248
3,ValveForce,Hybrid-IDS,0.1276,367
4,DemandInject,Hybrid-IDS,0.0915,271
5,PressureSpoof,Hybrid-IDS,0.9085,465
6,FlowSpoof,Hybrid-IDS,0.1402,252
7,PLCLatency,Hybrid-IDS,0.1217,247
8,PipeLeak,Hybrid-IDS,0.1114,322
9,FDI_Stealthy,Hybrid-IDS,0.2332,303
10,ReplayAttack,Hybrid-IDS,0.1267,281
