attack_id,attack_name,model,f1,n_samples
0,Normal,LSTM-AE,0.0,8859
1,SourceSpike,LSTM-AE,0.0,472
2,CompRamp,LSTM-AE,0.6766,401
3,ValveForce,LSTM-AE,0.0,424
4,DemandInject,LSTM-AE,0.0,652
5,PressureSpoof,LSTM-AE,0.8907,467
6,FlowSpoof,LSTM-AE,0.0676,400
7,PLCLatency,LSTM-AE,0.0,395
8,PipeLeak,LSTM-AE,0.0,356
9,FDI_Stealthy,LSTM-AE,0.2388,413
10,ReplayAttack,LSTM-AE,0.0,358
0,Normal,GNN,0.0,8859
1,SourceSpike,GNN,0.3554,472
2,CompRamp,GNN,0.727,401
3,ValveForce,GNN,0.3848,424
4,DemandInject,GNN,0.3618,652
5,PressureSpoof,GNN,0.8426,467
6,FlowSpoof,GNN,0.3707,400
7,PLCLatency,GNN,0.3778,395
8,PipeLeak,GNN,0.4072,356
9,FDI_Stealthy,GNN,0.525,413
10,ReplayAttack,GNN,0.3946,358
0,Normal,Hybrid-IDS,0.0,8859
1,SourceSpike,Hybrid-IDS,0.021,472
2,CompRamp,Hybrid-IDS,0.67,401
3,ValveForce,Hybrid-IDS,0.0047,424
4,DemandInject,Hybrid-IDS,0.0152,652
5,PressureSpoof,Hybrid-IDS,0.8747,467
6,FlowSpoof,Hybrid-IDS,0.0488,400
7,PLCLatency,Hybrid-IDS,0.0201,395
8,PipeLeak,Hybrid-IDS,0.0331,356
9,FDI_Stealthy,Hybrid-IDS,0.1685,413
10,ReplayAttack,Hybrid-IDS,0.0166,358
