attack_id,attack_name,model,f1,n_samples
0,Normal,LSTM-AE-recal,0.0,19650
1,SourceSpike,LSTM-AE-recal,0.2143,25
2,CompRamp,LSTM-AE-recal,0.7711,51
3,ValveForce,LSTM-AE-recal,0.5714,25
4,DemandInject,LSTM-AE-recal,0.0,11
5,PressureSpoof,LSTM-AE-recal,0.52,37
6,FlowSpoof,LSTM-AE-recal,0.411,58
7,PLCLatency,LSTM-AE-recal,0.2703,32
8,PipeLeak,LSTM-AE-recal,0.6,49
9,FDI_Stealthy,LSTM-AE-recal,0.069,28
10,ReplayAttack,LSTM-AE-recal,0.717,34
0,Normal,GNN-recal,0.0,19650
1,SourceSpike,GNN-recal,0.8095,25
2,CompRamp,GNN-recal,0.9592,51
3,ValveForce,GNN-recal,0.8889,25
4,DemandInject,GNN-recal,0.3077,11
5,PressureSpoof,GNN-recal,0.9722,37
6,FlowSpoof,GNN-recal,0.84,58
7,PLCLatency,GNN-recal,0.9153,32
8,PipeLeak,GNN-recal,0.9111,49
9,FDI_Stealthy,GNN-recal,0.6,28
10,ReplayAttack,GNN-recal,0.7636,34
