attack_id,attack_name,model,f1,n_samples
0,Normal,LSTM-AE,0.0,19650
1,SourceSpike,LSTM-AE,1.0,25
2,CompRamp,LSTM-AE,1.0,51
3,ValveForce,LSTM-AE,1.0,25
4,DemandInject,LSTM-AE,1.0,11
5,PressureSpoof,LSTM-AE,1.0,37
6,FlowSpoof,LSTM-AE,1.0,58
7,PLCLatency,LSTM-AE,1.0,32
8,PipeLeak,LSTM-AE,1.0,49
9,FDI_Stealthy,LSTM-AE,1.0,28
10,ReplayAttack,LSTM-AE,1.0,34
0,Normal,GNN,0.0,19650
1,SourceSpike,GNN,0.8095,25
2,CompRamp,GNN,0.9485,51
3,ValveForce,GNN,0.8889,25
4,DemandInject,GNN,0.3077,11
5,PressureSpoof,GNN,0.9577,37
6,FlowSpoof,GNN,0.8163,58
7,PLCLatency,GNN,0.9153,32
8,PipeLeak,GNN,0.8864,49
9,FDI_Stealthy,GNN,0.5641,28
10,ReplayAttack,GNN,0.7407,34
0,Normal,Hybrid-IDS,0.0,19650
1,SourceSpike,Hybrid-IDS,1.0,25
2,CompRamp,Hybrid-IDS,1.0,51
3,ValveForce,Hybrid-IDS,1.0,25
4,DemandInject,Hybrid-IDS,1.0,11
5,PressureSpoof,Hybrid-IDS,1.0,37
6,FlowSpoof,Hybrid-IDS,1.0,58
7,PLCLatency,Hybrid-IDS,1.0,32
8,PipeLeak,Hybrid-IDS,1.0,49
9,FDI_Stealthy,Hybrid-IDS,1.0,28
10,ReplayAttack,Hybrid-IDS,1.0,34
