attack_id,attack_name,model,f1,n_samples
0,Normal,LSTM-AE,0.0,41
5,PressureSpoof,LSTM-AE,0.0,10
6,FlowSpoof,LSTM-AE,1.0,6
7,PLCLatency,LSTM-AE,0.0,15
8,PipeLeak,LSTM-AE,1.0,20
9,FDI_Stealthy,LSTM-AE,0.0,17
10,ReplayAttack,LSTM-AE,0.0,8
0,Normal,GNN,0.0,41
5,PressureSpoof,GNN,1.0,10
6,FlowSpoof,GNN,1.0,6
7,PLCLatency,GNN,1.0,15
8,PipeLeak,GNN,1.0,20
9,FDI_Stealthy,GNN,1.0,17
10,ReplayAttack,GNN,1.0,8
0,Normal,Hybrid-IDS,0.0,41
5,PressureSpoof,Hybrid-IDS,0.9474,10
6,FlowSpoof,Hybrid-IDS,1.0,6
7,PLCLatency,Hybrid-IDS,0.9286,15
8,PipeLeak,Hybrid-IDS,1.0,20
9,FDI_Stealthy,Hybrid-IDS,0.8276,17
10,ReplayAttack,Hybrid-IDS,0.9333,8
