run_id,seed,density,description,model,clean_run,family,fpr,f1,auc,precision,recall,detection_delay_median_s
1,42,normal,"All attacks A1-A10, normal density (baseline)",LSTM-AE,False,ALL,,0.0,,0.0,0.0,
1,42,normal,"All attacks A1-A10, normal density (baseline)",GNN,False,ALL,,0.0,,0.0,0.0,
1,42,normal,"All attacks A1-A10, normal density (baseline)",Physics-EKF,False,ALL,,0.0,,0.0,0.0,
1,42,normal,"All attacks A1-A10, normal density (baseline)",Hybrid-IDS,False,ALL,,0.0,,0.0,0.0,
2,137,high,"Physical attacks high density (A1,A2,A3,A8)",LSTM-AE,False,ALL,,0.0,,0.0,0.0,
2,137,high,"Physical attacks high density (A1,A2,A3,A8)",GNN,False,ALL,,0.0,,0.0,0.0,
2,137,high,"Physical attacks high density (A1,A2,A3,A8)",Physics-EKF,False,ALL,,0.0,,0.0,0.0,
2,137,high,"Physical attacks high density (A1,A2,A3,A8)",Hybrid-IDS,False,ALL,,0.0,,0.0,0.0,
3,256,high,"Sensor attacks high density (A5,A6,A9)",LSTM-AE,False,ALL,,0.0,,0.0,0.0,
3,256,high,"Sensor attacks high density (A5,A6,A9)",GNN,False,ALL,,0.0,,0.0,0.0,
3,256,high,"Sensor attacks high density (A5,A6,A9)",Physics-EKF,False,ALL,,0.0,,0.0,0.0,
3,256,high,"Sensor attacks high density (A5,A6,A9)",Hybrid-IDS,False,ALL,,0.0,,0.0,0.0,
4,391,normal,"Cyber attacks normal density (A7,A10)",LSTM-AE,False,ALL,,0.0,,0.0,0.0,
4,391,normal,"Cyber attacks normal density (A7,A10)",GNN,False,ALL,,0.0,,0.0,0.0,
4,391,normal,"Cyber attacks normal density (A7,A10)",Physics-EKF,False,ALL,,0.0,,0.0,0.0,
4,391,normal,"Cyber attacks normal density (A7,A10)",Hybrid-IDS,False,ALL,,0.0,,0.0,0.0,
5,512,low,"All attacks low density, S1-only supply",LSTM-AE,False,ALL,,0.0,,0.0,0.0,
5,512,low,"All attacks low density, S1-only supply",GNN,False,ALL,,0.0,,0.0,0.0,
5,512,low,"All attacks low density, S1-only supply",Physics-EKF,False,ALL,,0.0,,0.0,0.0,
5,512,low,"All attacks low density, S1-only supply",Hybrid-IDS,False,ALL,,0.0,,0.0,0.0,
6,678,normal,"Hybrid attack mix (A1,A5,A9)",LSTM-AE,False,ALL,,0.0,,0.0,0.0,
6,678,normal,"Hybrid attack mix (A1,A5,A9)",GNN,False,ALL,,0.0,,0.0,0.0,
6,678,normal,"Hybrid attack mix (A1,A5,A9)",Physics-EKF,False,ALL,,0.0,,0.0,0.0,
6,678,normal,"Hybrid attack mix (A1,A5,A9)",Hybrid-IDS,False,ALL,,0.0,,0.0,0.0,
7,801,high,"Flow disruption attacks evening peak (A2,A6,A8)",LSTM-AE,False,ALL,,0.0,,0.0,0.0,
7,801,high,"Flow disruption attacks evening peak (A2,A6,A8)",GNN,False,ALL,,0.0,,0.0,0.0,
7,801,high,"Flow disruption attacks evening peak (A2,A6,A8)",Physics-EKF,False,ALL,,0.0,,0.0,0.0,
7,801,high,"Flow disruption attacks evening peak (A2,A6,A8)",Hybrid-IDS,False,ALL,,0.0,,0.0,0.0,
8,943,low,"Control path attacks low density (A3,A7,A10)",LSTM-AE,False,ALL,,0.0,,0.0,0.0,
8,943,low,"Control path attacks low density (A3,A7,A10)",GNN,False,ALL,,0.0,,0.0,0.0,
8,943,low,"Control path attacks low density (A3,A7,A10)",Physics-EKF,False,ALL,,0.0,,0.0,0.0,
8,943,low,"Control path attacks low density (A3,A7,A10)",Hybrid-IDS,False,ALL,,0.0,,0.0,0.0,
9,1024,normal,"All attacks, extended S2 interruption context",LSTM-AE,False,ALL,,0.0,,0.0,0.0,
9,1024,normal,"All attacks, extended S2 interruption context",GNN,False,ALL,,0.0,,0.0,0.0,
9,1024,normal,"All attacks, extended S2 interruption context",Physics-EKF,False,ALL,,0.0,,0.0,0.0,
9,1024,normal,"All attacks, extended S2 interruption context",Hybrid-IDS,False,ALL,,0.0,,0.0,0.0,
10,1337,none,"Clean continuous run, no attacks (FPR reference)",LSTM-AE,True,CLEAN,0.7975,,,,,
10,1337,none,"Clean continuous run, no attacks (FPR reference)",GNN,True,CLEAN,0.4549,,,,,
10,1337,none,"Clean continuous run, no attacks (FPR reference)",Physics-EKF,True,CLEAN,0.0,,,,,
10,1337,none,"Clean continuous run, no attacks (FPR reference)",Hybrid-IDS,True,CLEAN,0.7027,,,,,
