run_id,seed,density,description,model,clean_run,family,fpr,f1,auc,precision,recall,detection_delay_median_s
1,42,normal,"All attacks A1-A10, normal density (baseline)",LSTM-AE,False,ALL,,0.8919,0.5102,0.8863,0.8975,
1,42,normal,"All attacks A1-A10, normal density (baseline)",GNN,False,ALL,,0.7772,0.5009,0.8859,0.6922,
1,42,normal,"All attacks A1-A10, normal density (baseline)",Physics-EKF,False,ALL,,0.0,0.5022,0.0,0.0,
1,42,normal,"All attacks A1-A10, normal density (baseline)",Hybrid-IDS,False,ALL,,0.8545,0.4986,0.8861,0.8251,
2,137,high,"Physical attacks high density (A1,A2,A3,A8)",LSTM-AE,False,ALL,,0.8956,0.4866,0.8927,0.8985,
2,137,high,"Physical attacks high density (A1,A2,A3,A8)",GNN,False,ALL,,0.8201,0.4953,0.8927,0.7584,
2,137,high,"Physical attacks high density (A1,A2,A3,A8)",Physics-EKF,False,ALL,,0.0,0.4901,0.0,0.0,
2,137,high,"Physical attacks high density (A1,A2,A3,A8)",Hybrid-IDS,False,ALL,,0.8429,0.4908,0.8939,0.7974,
3,256,high,"Sensor attacks high density (A5,A6,A9)",LSTM-AE,False,ALL,,0.893,0.4961,0.8907,0.8954,
3,256,high,"Sensor attacks high density (A5,A6,A9)",GNN,False,ALL,,0.7356,0.5125,0.8962,0.6238,
3,256,high,"Sensor attacks high density (A5,A6,A9)",Physics-EKF,False,ALL,,0.0,0.5246,0.0,0.0,
3,256,high,"Sensor attacks high density (A5,A6,A9)",Hybrid-IDS,False,ALL,,0.8673,0.5032,0.8915,0.8444,
4,391,normal,"Cyber attacks normal density (A7,A10)",LSTM-AE,False,ALL,,0.9166,0.5013,0.8986,0.9353,
4,391,normal,"Cyber attacks normal density (A7,A10)",GNN,False,ALL,,0.8547,0.4861,0.8954,0.8175,
4,391,normal,"Cyber attacks normal density (A7,A10)",Physics-EKF,False,ALL,,0.0,0.504,0.0,0.0,
4,391,normal,"Cyber attacks normal density (A7,A10)",Hybrid-IDS,False,ALL,,0.9075,0.4862,0.8981,0.917,
5,512,low,"All attacks low density, S1-only supply",LSTM-AE,False,ALL,,0.8971,0.4713,0.8985,0.8956,
5,512,low,"All attacks low density, S1-only supply",GNN,False,ALL,,0.6279,0.4858,0.8965,0.4831,
5,512,low,"All attacks low density, S1-only supply",Physics-EKF,False,ALL,,0.0,0.5055,0.0,0.0,
5,512,low,"All attacks low density, S1-only supply",Hybrid-IDS,False,ALL,,0.8519,0.4759,0.8966,0.8115,
6,678,normal,"Hybrid attack mix (A1,A5,A9)",LSTM-AE,False,ALL,,0.9114,0.5281,0.8964,0.9269,
6,678,normal,"Hybrid attack mix (A1,A5,A9)",GNN,False,ALL,,0.8101,0.5022,0.8948,0.74,
6,678,normal,"Hybrid attack mix (A1,A5,A9)",Physics-EKF,False,ALL,,0.0,0.5024,0.0,0.0,
6,678,normal,"Hybrid attack mix (A1,A5,A9)",Hybrid-IDS,False,ALL,,0.9025,0.5144,0.897,0.9081,
7,801,high,"Flow disruption attacks evening peak (A2,A6,A8)",LSTM-AE,False,ALL,,0.9112,0.5079,0.8994,0.9233,
7,801,high,"Flow disruption attacks evening peak (A2,A6,A8)",GNN,False,ALL,,0.8452,0.4985,0.8992,0.7973,
7,801,high,"Flow disruption attacks evening peak (A2,A6,A8)",Physics-EKF,False,ALL,,0.0,0.5189,0.0,0.0,
7,801,high,"Flow disruption attacks evening peak (A2,A6,A8)",Hybrid-IDS,False,ALL,,0.8837,0.5093,0.8992,0.8687,
8,943,low,"Control path attacks low density (A3,A7,A10)",LSTM-AE,False,ALL,,0.9158,0.4941,0.8943,0.9384,
8,943,low,"Control path attacks low density (A3,A7,A10)",GNN,False,ALL,,0.8158,0.5103,0.8958,0.7489,
8,943,low,"Control path attacks low density (A3,A7,A10)",Physics-EKF,False,ALL,,0.0,0.503,0.0,0.0,
8,943,low,"Control path attacks low density (A3,A7,A10)",Hybrid-IDS,False,ALL,,0.8957,0.503,0.8954,0.896,
9,1024,normal,"All attacks, extended S2 interruption context",LSTM-AE,False,ALL,,0.9003,0.5167,0.8935,0.9072,
9,1024,normal,"All attacks, extended S2 interruption context",GNN,False,ALL,,0.8311,0.4622,0.892,0.7779,
9,1024,normal,"All attacks, extended S2 interruption context",Physics-EKF,False,ALL,,0.0,0.4857,0.0,0.0,
9,1024,normal,"All attacks, extended S2 interruption context",Hybrid-IDS,False,ALL,,0.866,0.4685,0.8944,0.8393,
10,1337,none,"Clean continuous run, no attacks (FPR reference)",LSTM-AE,True,CLEAN,0.8887,,,,,
10,1337,none,"Clean continuous run, no attacks (FPR reference)",GNN,True,CLEAN,0.6602,,,,,
10,1337,none,"Clean continuous run, no attacks (FPR reference)",Physics-EKF,True,CLEAN,0.0,,,,,
10,1337,none,"Clean continuous run, no attacks (FPR reference)",Hybrid-IDS,True,CLEAN,0.8191,,,,,
