run_id,seed,density,description,model,clean_run,family,fpr,f1,auc,precision,recall,detection_delay_median_s
1,42,normal,"All attacks A1-A10, normal density (baseline)",LSTM-AE,False,ALL,,0.0476,0.7948,0.0244,1.0,
1,42,normal,"All attacks A1-A10, normal density (baseline)",LSTM-AE,False,Physical,,0.0192,0.8255,0.0097,1.0,
1,42,normal,"All attacks A1-A10, normal density (baseline)",LSTM-AE,False,Sensor,,0.0065,0.7784,0.0033,1.0,
1,42,normal,"All attacks A1-A10, normal density (baseline)",LSTM-AE,False,Cyber,,0.0078,0.7842,0.0039,1.0,
1,42,normal,"All attacks A1-A10, normal density (baseline)",GNN,False,ALL,,0.0455,0.5663,0.0235,0.7124,
1,42,normal,"All attacks A1-A10, normal density (baseline)",GNN,False,Physical,,0.0195,0.584,0.0099,0.7528,
1,42,normal,"All attacks A1-A10, normal density (baseline)",GNN,False,Sensor,,0.0056,0.4984,0.0028,0.6333,
1,42,normal,"All attacks A1-A10, normal density (baseline)",GNN,False,Cyber,,0.0082,0.5822,0.0041,0.7778,
1,42,normal,"All attacks A1-A10, normal density (baseline)",Physics-EKF,False,ALL,,0.0,0.4971,0.0,0.0,
1,42,normal,"All attacks A1-A10, normal density (baseline)",Physics-EKF,False,Physical,,0.0,0.5691,0.0,0.0,
1,42,normal,"All attacks A1-A10, normal density (baseline)",Physics-EKF,False,Sensor,,0.0,0.3136,0.0,0.0,
1,42,normal,"All attacks A1-A10, normal density (baseline)",Physics-EKF,False,Cyber,,0.0,0.4025,0.0,0.0,
1,42,normal,"All attacks A1-A10, normal density (baseline)",Hybrid-IDS,False,ALL,,0.0573,0.6509,0.0295,1.0,
1,42,normal,"All attacks A1-A10, normal density (baseline)",Hybrid-IDS,False,Physical,,0.0232,0.6639,0.0117,1.0,
1,42,normal,"All attacks A1-A10, normal density (baseline)",Hybrid-IDS,False,Sensor,,0.0079,0.6068,0.004,1.0,
1,42,normal,"All attacks A1-A10, normal density (baseline)",Hybrid-IDS,False,Cyber,,0.0095,0.6529,0.0048,1.0,
2,137,high,"Physical attacks high density (A1,A2,A3,A8)",LSTM-AE,False,ALL,,0.0934,0.8699,0.049,1.0,
2,137,high,"Physical attacks high density (A1,A2,A3,A8)",LSTM-AE,False,Physical,,0.0697,0.866,0.0361,1.0,
2,137,high,"Physical attacks high density (A1,A2,A3,A8)",GNN,False,ALL,,0.0997,0.617,0.0526,0.9403,
2,137,high,"Physical attacks high density (A1,A2,A3,A8)",GNN,False,Physical,,0.0747,0.6187,0.0389,0.9429,
2,137,high,"Physical attacks high density (A1,A2,A3,A8)",Physics-EKF,False,ALL,,0.0,0.4791,0.0,0.0,
2,137,high,"Physical attacks high density (A1,A2,A3,A8)",Physics-EKF,False,Physical,,0.0,0.4832,0.0,0.0,
2,137,high,"Physical attacks high density (A1,A2,A3,A8)",Hybrid-IDS,False,ALL,,0.1075,0.65,0.0568,1.0,
2,137,high,"Physical attacks high density (A1,A2,A3,A8)",Hybrid-IDS,False,Physical,,0.0803,0.6517,0.0418,1.0,
3,256,high,"Sensor attacks high density (A5,A6,A9)",LSTM-AE,False,ALL,,0.0972,0.938,0.0511,1.0,
3,256,high,"Sensor attacks high density (A5,A6,A9)",LSTM-AE,False,Sensor,,0.0737,0.9349,0.0382,1.0,
3,256,high,"Sensor attacks high density (A5,A6,A9)",GNN,False,ALL,,0.1257,0.7167,0.0696,0.6511,
