model,family,n_runs,f1_mean,f1_std,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,detection_delay_median_s_mean,detection_delay_median_s_std
GNN,ALL,9,0.0624,0.0388,0.6104,0.0958,0.0331,0.0214,0.6981,0.2137,,
GNN,Cyber,4,0.0177,0.012,0.5821,0.0923,0.009,0.0062,0.7473,0.0777,,
GNN,Physical,6,0.0305,0.0312,0.6037,0.1712,0.0157,0.0163,0.6776,0.3307,,
GNN,Sensor,6,0.0309,0.0344,0.6526,0.0862,0.0162,0.0187,0.7465,0.1561,,
Hybrid-IDS,ALL,9,0.0675,0.0333,0.7077,0.079,0.0352,0.018,1.0,0.0,,
Hybrid-IDS,Cyber,4,0.0204,0.0145,0.6633,0.0782,0.0103,0.0075,1.0,0.0,,
Hybrid-IDS,Physical,6,0.0334,0.0309,0.7079,0.1047,0.0172,0.0161,1.0,0.0,,
Hybrid-IDS,Sensor,6,0.0282,0.0292,0.7436,0.0892,0.0145,0.0153,1.0,0.0,,
LSTM-AE,ALL,9,0.0604,0.0296,0.8898,0.0541,0.0314,0.0159,1.0,0.0,,
LSTM-AE,Cyber,4,0.0186,0.0142,0.8301,0.0311,0.0094,0.0072,1.0,0.0,,
LSTM-AE,Physical,6,0.0297,0.0274,0.8903,0.055,0.0152,0.0142,1.0,0.0,,
LSTM-AE,Sensor,6,0.025,0.0251,0.9097,0.0779,0.0128,0.0131,1.0,0.0,,
Physics-EKF,ALL,9,0.0,0.0,0.522,0.0802,0.0,0.0,0.0,0.0,,
Physics-EKF,Cyber,4,0.0,0.0,0.4543,0.0419,0.0,0.0,0.0,0.0,,
Physics-EKF,Physical,6,0.0,0.0,0.601,0.1137,0.0,0.0,0.0,0.0,,
Physics-EKF,Sensor,6,0.0,0.0,0.482,0.1743,0.0,0.0,0.0,0.0,,
