ID,Name,Unique instances,Duration range (s),Max ΔP (bar),Mean ΔP (bar),Total rows
A1,SourceSpike,145,61–852,8.973,1.4179,37072
A2,CompRamp,131,62–786,21.707,1.6229,31353
A3,ValveForce,133,67–676,9.05,1.3524,31007
A4,DemandInject,135,62–770,8.522,1.4294,32613
A5,PressureSpoof,146,61–653,8.665,1.3243,35338
A6,FlowSpoof,140,62–656,8.451,1.3552,31205
A7,PLCLatency,136,61–750,8.575,1.3124,33641
A8,PipeLeak,135,60–795,8.718,1.2959,33612
A9,FDI_Stealthy,135,62–688,8.649,1.3981,31895
A10,ReplayAttack,141,61–580,8.553,1.3797,34415
